('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       62    0.000    0.000    0.002    0.000 parse.py:379(urlparse)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      419    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       69    0.000    0.000    0.002    0.000 css_parser.py:532(parse_tag_pattern)
  159/158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      492    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       12    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      331    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      333    0.000    0.000    0.000    0.000 socket.py:730(readable)
      205    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      136    0.000    0.000    0.006    0.000 css_types.py:203(__init__)
      140    0.000    0.000    0.000    0.000 parse.py:122(_coerce_args)
        5    0.000    0.000    0.001    0.000 request.py:2487(getproxies_environment)
      150    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      403    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      242    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      339    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.468    0.468 __init__.py:122(__init__)
      174    0.000    0.000    0.020    0.000 sre_parse.py:97(closegroup)
       10    0.000    0.000    0.009    0.001 enum.py:483(_create_)
      335    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
    71/37    0.000    0.000    0.373    0.010 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      390    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       52    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      345    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      168    0.000    0.000    0.000    0.000 os.py:759(decode)
       43    0.000    0.000    0.129    0.003 response.py:1173(read_chunked)
       12    0.000    0.000    0.001    0.000 datetime.py:461(__new__)
      165    0.000    0.000    0.001    0.000 _collections_abc.py:885(__iter__)
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      165    0.000    0.000    0.001    0.000 os.py:698(__iter__)
       12    0.000    0.000    0.001    0.000 message.py:497(get_all)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       16    0.000    0.000    0.001    0.000 message.py:462(get)
